#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 192 10.7 11.5 99.00 99.00 99.00 999 1023.9   5.0 999.0   0.0 99.0 99.00
2019 01 01 01 00 187 11.9 13.3 99.00 99.00 99.00 999 1022.4   4.7 999.0  -0.9 99.0 99.00
2019 01 01 02 00 183 12.3 13.1 99.00 99.00 99.00 999 1020.5   2.7 999.0   1.7 99.0 99.00
2019 01 01 03 00 170 13.2 14.7 99.00 99.00 99.00 999 1018.7   2.5 999.0   1.4 99.0 99.00
2019 01 01 04 00 153 13.1 14.6 99.00 99.00 99.00 999 1017.2   1.8 999.0   1.7 99.0 99.00
2019 01 01 05 00 160 16.7 19.3 99.00 99.00 99.00 999 1014.0   3.3 999.0   2.9 99.0 99.00
2019 01 01 06 00 152 13.6 15.6 99.00 99.00 99.00 999 1012.0   4.3 999.0   4.1 99.0 99.00
2019 01 01 07 00 148 16.0 18.0 99.00 99.00 99.00 999 1008.6   5.4 999.0   5.4 99.0 99.00
2019 01 01 08 00 138 15.5 17.1 99.00 99.00 99.00 999 1003.9   5.8 999.0   5.8 99.0 99.00
2019 01 01 09 00 157 11.5 13.3 99.00 99.00 99.00 999 1001.4   6.2 999.0   6.2 99.0 99.00
2019 01 01 10 00 175 13.3 14.2 99.00 99.00 99.00 999  998.0   6.8 999.0   6.8 99.0 99.00
2019 01 01 11 00 211  8.3  8.9 99.00 99.00 99.00 999  996.4   6.5 999.0   6.5 99.0 99.00
2019 01 01 12 00 242  5.0  5.9 99.00 99.00 99.00 999  996.4   6.2 999.0   6.2 99.0 99.00
2019 01 01 13 00 257  8.2  9.2 99.00 99.00 99.00 999  996.6   5.0 999.0   5.0 99.0 99.00
2019 01 01 14 00 236  9.0  9.6 99.00 99.00 99.00 999  996.5   5.6 999.0   5.6 99.0 99.00
2019 01 01 15 00 245 13.3 15.0 99.00 99.00 99.00 999  996.7   9.3 999.0   6.9 99.0 99.00
2019 01 01 16 00 267 17.8 20.4 99.00 99.00 99.00 999  996.2  11.0 999.0   5.1 99.0 99.00
2019 01 01 17 00 284 19.9 23.1 99.00 99.00 99.00 999  997.8  10.2 999.0   2.3 99.0 99.00
2019 01 01 18 00 295 23.4 26.6 99.00 99.00 99.00 999  999.7   8.6 999.0  -0.6 99.0 99.00
2019 01 01 19 00 300 16.3 18.6 99.00 99.00 99.00 999 1003.4   7.4 999.0  -0.9 99.0 99.00
